System Timestamp,GPS Timestamp,Latitude,Longitude,Heading Angle,filename
04:21.1,22/09/2024 11:04,58.3858241,26.7322688,43.73303,4143
04:22.1,22/09/2024 11:04,58.3858622,26.7323379,43.53356,4167
04:23.1,22/09/2024 11:04,58.3858998,26.7324052,42.96103,4191
04:24.1,22/09/2024 11:04,58.3859363,26.7324721,44.09204,4215
04:25.1,22/09/2024 11:04,58.3859711,26.7325392,45.5659,4239
04:26.1,22/09/2024 11:04,58.3860061,26.7326044,43.72098,4263
04:27.1,22/09/2024 11:04,58.386041,26.7326679,43.37109,4287
04:28.1,22/09/2024 11:04,58.3860755,26.7327281,42.13246,4311
04:29.1,22/09/2024 11:04,58.3861053,26.732778,40.70039,4335
04:30.1,22/09/2024 11:04,58.3861279,26.7328167,42.815,4359
04:31.1,22/09/2024 11:04,58.3861442,26.7328474,45.37106,4383
04:32.1,22/09/2024 11:04,58.3861581,26.7328789,52.01456,4407
04:33.1,22/09/2024 11:04,58.3861744,26.7329111,43.68669,4431
04:34.1,22/09/2024 11:04,58.3861949,26.7329431,37.22158,4455
04:35.1,22/09/2024 11:04,58.3862176,26.7329814,43.05619,4479
04:36.1,22/09/2024 11:04,58.386242,26.7330305,47.48959,4503
04:37.1,22/09/2024 11:04,58.386269,26.7330882,48.79907,4527
04:38.1,22/09/2024 11:04,58.3862989,26.7331493,46.49122,4551
04:39.1,22/09/2024 11:04,58.3863307,26.7332133,46.62914,4575
04:40.1,22/09/2024 11:04,58.3863646,26.7332759,42.95072,4599
04:41.1,22/09/2024 11:04,58.3864005,26.7333349,39.85039,4623
04:42.1,22/09/2024 11:04,58.3864372,26.7333931,40.07282,4647
04:43.1,22/09/2024 11:04,58.386473,26.7334538,42.35351,4671
04:44.1,22/09/2024 11:04,58.3865081,26.7335178,44.31058,4695
04:45.1,22/09/2024 11:04,58.3865432,26.7335819,43.5226,4719
04:46.1,22/09/2024 11:04,58.3865788,26.7336458,42.99934,4743
04:47.1,22/09/2024 11:04,58.3866145,26.7337092,42.72851,4767
04:48.1,22/09/2024 11:04,58.3866498,26.7337731,43.34262,4791
04:49.1,22/09/2024 11:04,58.3866852,26.7338374,42.77532,4815
04:50.1,22/09/2024 11:04,58.3867207,26.7339012,43.52347,4839
04:51.1,22/09/2024 11:04,58.3867568,26.733964,42.38767,4863
04:52.1,22/09/2024 11:04,58.3867934,26.7340256,41.52519,4887
04:53.1,22/09/2024 11:04,58.3868301,26.7340874,41.5527,4911
04:54.1,22/09/2024 11:04,58.3868659,26.7341515,43.4778,4935
04:55.1,22/09/2024 11:04,58.3869009,26.7342185,45.60069,4959
04:56.1,22/09/2024 11:04,58.3869366,26.7342839,43.4208,4983
04:57.1,22/09/2024 11:04,58.3869723,26.7343475,42.86788,5007
04:58.1,22/09/2024 11:04,58.3870072,26.7344139,45.37817,5031
04:59.1,22/09/2024 11:04,58.387043,26.7344786,42.84678,5055
05:00.1,22/09/2024 11:05,58.3870774,26.7345375,41.88961,5079
05:01.1,22/09/2024 11:05,58.3871105,26.7345945,42.8496,5103
05:02.1,22/09/2024 11:05,58.3871427,26.7346522,44.46506,5127
05:03.1,22/09/2024 11:05,58.3871751,26.734711,43.52394,5151
05:04.1,22/09/2024 11:05,58.3872046,26.7347639,43.23264,5175
05:05.1,22/09/2024 11:05,58.3872288,26.7348087,44.46893,5199
05:06.1,22/09/2024 11:05,58.387249,26.7348503,47.95037,5223
05:07.1,22/09/2024 11:05,58.3872693,26.7348905,45.6155,5247
05:08.1,22/09/2024 11:05,58.3872929,26.7349221,29.18442,5271
05:09.1,22/09/2024 11:05,58.3873188,26.7349481,28.29293,5295
05:10.1,22/09/2024 11:05,58.387343,26.7349775,34.71659,5319
05:11.1,22/09/2024 11:05,58.387367,26.7350009,22.95825,5343
05:12.1,22/09/2024 11:05,58.3873945,26.7350019,351.87116,5367
05:13.1,22/09/2024 11:05,58.387419,26.7349735,319.26048,5391
05:14.1,22/09/2024 11:05,58.3874374,26.734923,299.5285,5415
05:15.1,22/09/2024 11:05,58.3874544,26.7348631,298.36782,5439
05:16.1,22/09/2024 11:05,58.3874735,26.7347958,298.72974,5463
05:17.1,22/09/2024 11:05,58.3874982,26.734723,304.55612,5487
05:18.1,22/09/2024 11:05,58.3875274,26.7346458,305.7615,5511
05:19.1,22/09/2024 11:05,58.3875574,26.7345632,303.94504,5535
05:20.1,22/09/2024 11:05,58.3875874,26.7344777,303.54,5559
05:21.1,22/09/2024 11:05,58.3876176,26.7343903,303.13808,5583
05:22.1,22/09/2024 11:05,58.3876486,26.7343028,303.94068,5607
05:23.1,22/09/2024 11:05,58.3876808,26.7342152,304.70474,5631
05:24.1,22/09/2024 11:05,58.3877134,26.7341278,304.96822,5655
05:25.1,22/09/2024 11:05,58.3877457,26.7340405,304.57046,5679
05:26.1,22/09/2024 11:05,58.3877775,26.7339528,304.0721,5703
05:27.1,22/09/2024 11:05,58.3878089,26.7338649,304.02754,5727
05:28.1,22/09/2024 11:05,58.3878401,26.733777,303.84072,5751
05:29.1,22/09/2024 11:05,58.3878715,26.7336902,304.60336,5775
05:30.1,22/09/2024 11:05,58.387903,26.7336034,304.33406,5799
